cable_id,ocean_route,operator_type,rfs_year,fiber_pairs,length_km,n_landing_countries,chokepoint
CAB0000,Intra-Europe,consortium,2026,38,981.0,3,None
CAB0001,Africa-Coastal,carrier,2012,39,14098.0,5,None
CAB0002,Indian-Ocean,carrier,2024,6,6142.0,8,None
CAB0003,Intra-Europe,carrier,2025,12,1848.0,3,None
CAB0004,Intra-Pacific-Islands,consortium,2012,8,379.0,5,None
CAB0005,EMEA-Asia,hyperscaler,2020,16,18833.0,3,None
CAB0006,Trans-Atlantic,carrier,2019,5,7004.0,7,None
CAB0007,Africa-Coastal,consortium,2022,34,9553.0,6,None
CAB0008,Trans-Pacific,government,2025,37,10572.0,5,None
CAB0009,Intra-Asia,consortium,2016,19,3494.0,5,Taiwan-Strait
CAB0010,Trans-Atlantic,carrier,2016,4,6108.0,5,None
CAB0011,Intra-Europe,consortium,2010,4,502.0,7,None
CAB0012,Intra-Europe,carrier,2012,6,1062.0,8,None
CAB0013,Trans-Pacific,consortium,2022,8,12780.0,4,None
CAB0014,Intra-Pacific-Islands,carrier,2013,18,3848.0,6,None
CAB0015,Americas,consortium,2014,7,6898.0,5,Panama
CAB0016,Intra-Pacific-Islands,hyperscaler,2018,21,3999.0,6,None
CAB0017,Indian-Ocean,consortium,2016,29,4184.0,7,Suez
CAB0018,Trans-Atlantic,consortium,2010,4,6382.0,2,None
CAB0019,Trans-Atlantic,carrier,2001,2,7156.0,5,None
CAB0020,Intra-Europe,consortium,2007,22,1133.0,4,None
CAB0021,Intra-Pacific-Islands,hyperscaler,2010,16,2702.0,5,None
CAB0022,Intra-Europe,consortium,2013,6,1546.0,6,None
CAB0023,Intra-Asia,government,2007,22,4065.0,6,Malacca
CAB0024,Intra-Pacific-Islands,consortium,2000,4,1599.0,5,None
CAB0025,Trans-Atlantic,consortium,2000,8,5172.0,4,None
CAB0026,Intra-Europe,hyperscaler,2022,5,1306.0,4,None
CAB0027,Intra-Pacific-Islands,hyperscaler,2015,4,917.0,8,None
CAB0028,Intra-Asia,carrier,2014,9,3158.0,5,None
CAB0029,Intra-Asia,consortium,1998,4,6063.0,8,None
CAB0030,Intra-Europe,consortium,2000,5,1560.0,5,None
CAB0031,Trans-Atlantic,consortium,1998,9,5464.0,6,None
CAB0032,Trans-Pacific,carrier,2013,9,11479.0,8,None
CAB0033,Americas,consortium,1999,7,4997.0,4,None
CAB0034,Intra-Asia,hyperscaler,2007,22,3485.0,9,None
CAB0035,Indian-Ocean,carrier,1998,21,10679.0,7,None
CAB0036,Intra-Europe,carrier,2025,12,767.0,4,None
CAB0037,Intra-Europe,hyperscaler,1998,2,2867.0,4,None
CAB0038,Trans-Pacific,hyperscaler,2021,34,14212.0,5,None
CAB0039,Americas,consortium,2021,34,2280.0,3,None
CAB0040,Americas,carrier,2002,4,8338.0,4,None
CAB0041,Intra-Pacific-Islands,consortium,2019,10,207.0,7,None
CAB0042,Intra-Europe,carrier,2007,22,632.0,9,None
CAB0043,EMEA-Asia,hyperscaler,2004,6,18857.0,4,None
CAB0044,Americas,consortium,2025,48,7140.0,4,None
CAB0045,Intra-Pacific-Islands,hyperscaler,2026,25,2733.0,4,None
CAB0046,Trans-Atlantic,consortium,2018,7,6735.0,5,None
CAB0047,Trans-Pacific,consortium,2006,5,9094.0,6,None
CAB0048,Indian-Ocean,government,2002,11,12988.0,7,None
CAB0049,Africa-Coastal,carrier,2011,6,3421.0,3,None
CAB0050,Americas,government,2026,12,5648.0,6,Panama
CAB0051,Intra-Asia,hyperscaler,1999,2,5223.0,3,None
CAB0052,Indian-Ocean,carrier,2015,7,4580.0,6,Bab-el-Mandeb
CAB0053,Trans-Atlantic,carrier,2018,7,7108.0,6,None
