year,cable_id,ocean_route,operator_type,rfs_year,age_years,fiber_pairs,length_km,n_landing_countries,chokepoint,design_capacity_tbps,lit_capacity_tbps,utilization_pct,protected_burial,design_life_years,route_redundancy,is_low_redundancy,vulnerability_index,fault_cause,fault_this_year,fault_next_year
2026,CAB0000,Intra-Europe,consortium,2026,0,38,981.0,3,None,1824.0,365.4,62.3,1,25,60,0,0.0,none,0,
2015,CAB0001,Africa-Coastal,carrier,2012,3,39,14098.0,5,None,1092.0,487.2,41.7,1,25,36,1,24.6,none,0,0.0
2016,CAB0001,Africa-Coastal,carrier,2012,4,39,14098.0,5,None,1092.0,507.7,51.5,1,25,37,1,26.2,none,0,0.0
2017,CAB0001,Africa-Coastal,carrier,2012,5,39,14098.0,5,None,1092.0,632.5,80.0,1,25,40,0,7.9,none,0,0.0
2018,CAB0001,Africa-Coastal,carrier,2012,6,39,14098.0,5,None,1092.0,546.9,17.5,1,25,40,0,9.5,none,0,0.0
2019,CAB0001,Africa-Coastal,carrier,2012,7,39,14098.0,5,None,1092.0,585.7,71.3,1,25,42,0,11.1,none,0,0.0
2020,CAB0001,Africa-Coastal,carrier,2012,8,39,14098.0,5,None,1092.0,808.1,57.0,1,25,43,0,12.7,none,0,1.0
2021,CAB0001,Africa-Coastal,carrier,2012,9,39,14098.0,5,None,1092.0,809.8,40.8,1,25,44,0,14.3,fishing_anchor,1,0.0
2022,CAB0001,Africa-Coastal,carrier,2012,10,39,14098.0,5,None,1092.0,964.0,36.6,1,25,45,0,15.9,none,0,1.0
2023,CAB0001,Africa-Coastal,carrier,2012,11,39,14098.0,5,None,1092.0,1063.7,48.9,1,25,47,0,17.5,fishing_anchor,1,0.0
2024,CAB0001,Africa-Coastal,carrier,2012,12,39,14098.0,5,None,1092.0,1092.0,34.2,1,25,49,0,19.0,none,0,0.0
2025,CAB0001,Africa-Coastal,carrier,2012,13,39,14098.0,5,None,1092.0,1092.0,39.4,1,25,52,0,20.6,none,0,0.0
2026,CAB0001,Africa-Coastal,carrier,2012,14,39,14098.0,5,None,1092.0,1092.0,89.5,1,25,53,0,22.2,none,0,
2024,CAB0002,Indian-Ocean,carrier,2024,0,6,6142.0,8,None,270.9,77.7,24.3,0,25,41,0,15.9,none,0,0.0
2025,CAB0002,Indian-Ocean,carrier,2024,1,6,6142.0,8,None,270.9,64.8,62.7,0,25,44,0,17.5,none,0,0.0
2026,CAB0002,Indian-Ocean,carrier,2024,2,6,6142.0,8,None,270.9,105.0,42.0,0,25,43,0,19.0,none,0,
2025,CAB0003,Intra-Europe,carrier,2025,0,12,1848.0,3,None,558.9,138.8,30.3,1,25,58,0,0.0,none,0,0.0
2026,CAB0003,Intra-Europe,carrier,2025,1,12,1848.0,3,None,558.9,150.9,50.9,1,25,60,0,1.6,none,0,
2015,CAB0004,Intra-Pacific-Islands,consortium,2012,3,8,379.0,5,None,224.0,86.8,59.0,0,25,28,1,40.5,none,0,1.0
2016,CAB0004,Intra-Pacific-Islands,consortium,2012,4,8,379.0,5,None,224.0,110.3,28.7,0,25,29,1,42.1,natural_hazard,1,1.0
2017,CAB0004,Intra-Pacific-Islands,consortium,2012,5,8,379.0,5,None,224.0,128.1,98.3,0,25,29,1,43.7,natural_hazard,1,0.0
2018,CAB0004,Intra-Pacific-Islands,consortium,2012,6,8,379.0,5,None,224.0,146.2,79.6,0,25,30,1,45.2,none,0,0.0
2019,CAB0004,Intra-Pacific-Islands,consortium,2012,7,8,379.0,5,None,224.0,130.3,90.3,0,25,35,1,46.8,none,0,0.0
2020,CAB0004,Intra-Pacific-Islands,consortium,2012,8,8,379.0,5,None,224.0,150.5,74.5,0,25,40,0,28.6,none,0,1.0
2021,CAB0004,Intra-Pacific-Islands,consortium,2012,9,8,379.0,5,None,224.0,173.3,83.5,0,25,41,0,30.2,fishing_anchor,1,0.0
2022,CAB0004,Intra-Pacific-Islands,consortium,2012,10,8,379.0,5,None,224.0,191.1,58.0,0,25,43,0,31.7,none,0,0.0
2023,CAB0004,Intra-Pacific-Islands,consortium,2012,11,8,379.0,5,None,224.0,211.1,51.3,0,25,45,0,33.3,none,0,0.0
2024,CAB0004,Intra-Pacific-Islands,consortium,2012,12,8,379.0,5,None,224.0,224.0,30.5,0,25,48,0,34.9,none,0,0.0
2025,CAB0004,Intra-Pacific-Islands,consortium,2012,13,8,379.0,5,None,224.0,224.0,84.4,0,25,50,0,36.5,none,0,0.0
2026,CAB0004,Intra-Pacific-Islands,consortium,2012,14,8,379.0,5,None,224.0,224.0,74.3,0,25,51,0,38.1,none,0,
2020,CAB0005,EMEA-Asia,hyperscaler,2020,0,16,18833.0,3,None,630.9,135.9,51.7,1,25,40,0,0.0,none,0,0.0
2021,CAB0005,EMEA-Asia,hyperscaler,2020,1,16,18833.0,3,None,630.9,209.0,34.2,1,25,44,0,1.6,none,0,0.0
2022,CAB0005,EMEA-Asia,hyperscaler,2020,2,16,18833.0,3,None,630.9,225.1,44.4,1,25,45,0,3.2,none,0,0.0
2023,CAB0005,EMEA-Asia,hyperscaler,2020,3,16,18833.0,3,None,630.9,246.4,39.3,1,25,47,0,4.8,none,0,0.0
2024,CAB0005,EMEA-Asia,hyperscaler,2020,4,16,18833.0,3,None,630.9,259.3,25.6,1,25,48,0,6.3,none,0,0.0
2025,CAB0005,EMEA-Asia,hyperscaler,2020,5,16,18833.0,3,None,630.9,350.5,85.6,1,25,47,0,7.9,none,0,0.0
2026,CAB0005,EMEA-Asia,hyperscaler,2020,6,16,18833.0,3,None,630.9,389.6,63.7,1,25,47,0,9.5,none,0,
2019,CAB0006,Trans-Atlantic,carrier,2019,0,5,7004.0,7,None,190.0,51.3,33.1,1,25,45,0,0.0,none,0,0.0
2020,CAB0006,Trans-Atlantic,carrier,2019,1,5,7004.0,7,None,190.0,56.5,36.6,1,25,48,0,1.6,none,0,0.0
2021,CAB0006,Trans-Atlantic,carrier,2019,2,5,7004.0,7,None,190.0,63.4,32.0,1,25,50,0,3.2,none,0,0.0
2022,CAB0006,Trans-Atlantic,carrier,2019,3,5,7004.0,7,None,190.0,70.6,21.1,1,25,51,0,4.8,none,0,0.0
2023,CAB0006,Trans-Atlantic,carrier,2019,4,5,7004.0,7,None,190.0,95.8,52.8,1,25,54,0,6.3,none,0,0.0
2024,CAB0006,Trans-Atlantic,carrier,2019,5,5,7004.0,7,None,190.0,106.2,72.9,1,25,58,0,7.9,none,0,0.0
2025,CAB0006,Trans-Atlantic,carrier,2019,6,5,7004.0,7,None,190.0,120.7,27.8,1,25,62,0,9.5,none,0,1.0
2026,CAB0006,Trans-Atlantic,carrier,2019,7,5,7004.0,7,None,190.0,123.5,48.5,1,25,63,0,11.1,fishing_anchor,1,
2022,CAB0007,Africa-Coastal,consortium,2022,0,34,9553.0,6,None,1437.7,276.3,54.9,0,25,45,0,15.9,none,0,0.0
2023,CAB0007,Africa-Coastal,consortium,2022,1,34,9553.0,6,None,1437.7,372.0,18.0,0,25,47,0,17.5,none,0,0.0
2024,CAB0007,Africa-Coastal,consortium,2022,2,34,9553.0,6,None,1437.7,477.4,49.6,0,25,49,0,19.0,none,0,1.0
2025,CAB0007,Africa-Coastal,consortium,2022,3,34,9553.0,6,None,1437.7,633.4,55.9,0,25,52,0,20.6,fishing_anchor,1,1.0
2026,CAB0007,Africa-Coastal,consortium,2022,4,34,9553.0,6,None,1437.7,644.4,41.0,0,25,53,0,22.2,fishing_anchor,1,
2025,CAB0008,Trans-Pacific,government,2025,0,37,10572.0,5,None,1723.1,475.6,45.5,1,25,50,0,0.0,none,0,0.0
2026,CAB0008,Trans-Pacific,government,2025,1,37,10572.0,5,None,1723.1,471.7,46.6,1,25,48,0,1.6,none,0,
2016,CAB0009,Intra-Asia,consortium,2016,0,19,3494.0,5,Taiwan-Strait,640.6,249.4,40.8,0,25,59,0,43.7,fishing_anchor,1,0.0
2017,CAB0009,Intra-Asia,consortium,2016,1,19,3494.0,5,Taiwan-Strait,640.6,193.8,36.7,0,25,60,0,45.2,none,0,1.0
2018,CAB0009,Intra-Asia,consortium,2016,2,19,3494.0,5,Taiwan-Strait,640.6,246.4,35.7,0,25,62,0,46.8,fishing_anchor,1,1.0
2019,CAB0009,Intra-Asia,consortium,2016,3,19,3494.0,5,Taiwan-Strait,640.6,274.4,21.2,0,25,64,0,48.4,natural_hazard,1,0.0
2020,CAB0009,Intra-Asia,consortium,2016,4,19,3494.0,5,Taiwan-Strait,640.6,312.4,22.5,0,25,66,0,50.0,none,0,1.0
2021,CAB0009,Intra-Asia,consortium,2016,5,19,3494.0,5,Taiwan-Strait,640.6,364.5,59.2,0,25,69,0,51.6,fishing_anchor,1,1.0
2022,CAB0009,Intra-Asia,consortium,2016,6,19,3494.0,5,Taiwan-Strait,640.6,365.2,75.3,0,25,70,0,53.2,natural_hazard,1,1.0
2023,CAB0009,Intra-Asia,consortium,2016,7,19,3494.0,5,Taiwan-Strait,640.6,408.9,26.8,0,25,70,0,54.8,fishing_anchor,1,1.0
2024,CAB0009,Intra-Asia,consortium,2016,8,19,3494.0,5,Taiwan-Strait,640.6,447.0,69.0,0,25,75,0,56.3,fishing_anchor,1,0.0
2025,CAB0009,Intra-Asia,consortium,2016,9,19,3494.0,5,Taiwan-Strait,640.6,520.8,28.9,0,25,77,0,57.9,none,0,0.0
2026,CAB0009,Intra-Asia,consortium,2016,10,19,3494.0,5,Taiwan-Strait,640.6,575.2,38.7,0,25,77,0,59.5,none,0,
2016,CAB0010,Trans-Atlantic,carrier,2016,0,4,6108.0,5,None,134.9,36.4,78.9,1,25,37,1,19.8,none,0,0.0
2017,CAB0010,Trans-Atlantic,carrier,2016,1,4,6108.0,5,None,134.9,35.1,9.1,1,25,37,1,21.4,none,0,0.0
2018,CAB0010,Trans-Atlantic,carrier,2016,2,4,6108.0,5,None,134.9,51.1,36.1,1,25,40,0,3.2,none,0,0.0
2019,CAB0010,Trans-Atlantic,carrier,2016,3,4,6108.0,5,None,134.9,45.2,77.9,1,25,45,0,4.8,none,0,1.0
2020,CAB0010,Trans-Atlantic,carrier,2016,4,4,6108.0,5,None,134.9,57.0,48.9,1,25,48,0,6.3,fishing_anchor,1,0.0
2021,CAB0010,Trans-Atlantic,carrier,2016,5,4,6108.0,5,None,134.9,68.4,68.6,1,25,50,0,7.9,none,0,0.0
2022,CAB0010,Trans-Atlantic,carrier,2016,6,4,6108.0,5,None,134.9,80.7,14.6,1,25,51,0,9.5,none,0,0.0
2023,CAB0010,Trans-Atlantic,carrier,2016,7,4,6108.0,5,None,134.9,97.8,83.1,1,25,54,0,11.1,none,0,0.0
2024,CAB0010,Trans-Atlantic,carrier,2016,8,4,6108.0,5,None,134.9,104.0,92.7,1,25,58,0,12.7,none,0,1.0
2025,CAB0010,Trans-Atlantic,carrier,2016,9,4,6108.0,5,None,134.9,112.0,46.6,1,25,62,0,14.3,fishing_anchor,1,1.0
2026,CAB0010,Trans-Atlantic,carrier,2016,10,4,6108.0,5,None,134.9,114.2,59.1,1,25,63,0,15.9,suspected_external,1,
2015,CAB0011,Intra-Europe,consortium,2010,5,4,502.0,7,None,100.6,68.4,53.3,0,25,41,0,23.8,none,0,0.0
2016,CAB0011,Intra-Europe,consortium,2010,6,4,502.0,7,None,100.6,63.3,21.2,0,25,42,0,25.4,none,0,0.0
2017,CAB0011,Intra-Europe,consortium,2010,7,4,502.0,7,None,100.6,63.5,21.8,0,25,44,0,27.0,none,0,0.0
2018,CAB0011,Intra-Europe,consortium,2010,8,4,502.0,7,None,100.6,68.6,65.5,0,25,45,0,28.6,none,0,0.0
2019,CAB0011,Intra-Europe,consortium,2010,9,4,502.0,7,None,100.6,83.1,93.9,0,25,47,0,30.2,none,0,0.0
2020,CAB0011,Intra-Europe,consortium,2010,10,4,502.0,7,None,100.6,91.1,48.7,0,25,49,0,31.7,none,0,0.0
2021,CAB0011,Intra-Europe,consortium,2010,11,4,502.0,7,None,100.6,93.8,64.0,0,25,49,0,33.3,none,0,0.0
2022,CAB0011,Intra-Europe,consortium,2010,12,4,502.0,7,None,100.6,100.0,45.6,0,25,52,0,34.9,none,0,0.0
2023,CAB0011,Intra-Europe,consortium,2010,13,4,502.0,7,None,100.6,96.8,39.8,0,25,53,0,36.5,none,0,0.0
2024,CAB0011,Intra-Europe,consortium,2010,14,4,502.0,7,None,100.6,100.6,85.6,0,25,53,0,38.1,none,0,0.0
2025,CAB0011,Intra-Europe,consortium,2010,15,4,502.0,7,None,100.6,100.6,100.0,0,25,58,0,39.7,none,0,0.0
2026,CAB0011,Intra-Europe,consortium,2010,16,4,502.0,7,None,100.6,100.6,97.2,0,25,60,0,41.3,none,0,
2015,CAB0012,Intra-Europe,carrier,2012,3,6,1062.0,8,None,168.0,83.1,43.9,0,25,41,0,20.6,fishing_anchor,1,0.0
2016,CAB0012,Intra-Europe,carrier,2012,4,6,1062.0,8,None,168.0,81.3,27.3,0,25,42,0,22.2,none,0,1.0
2017,CAB0012,Intra-Europe,carrier,2012,5,6,1062.0,8,None,168.0,83.6,100.0,0,25,44,0,23.8,fishing_anchor,1,1.0
2018,CAB0012,Intra-Europe,carrier,2012,6,6,1062.0,8,None,168.0,95.1,44.1,0,25,45,0,25.4,fishing_anchor,1,1.0
2019,CAB0012,Intra-Europe,carrier,2012,7,6,1062.0,8,None,168.0,110.3,86.5,0,25,47,0,27.0,natural_hazard,1,0.0
2020,CAB0012,Intra-Europe,carrier,2012,8,6,1062.0,8,None,168.0,114.5,56.7,0,25,49,0,28.6,none,0,1.0
2021,CAB0012,Intra-Europe,carrier,2012,9,6,1062.0,8,None,168.0,132.3,51.0,0,25,49,0,30.2,natural_hazard,1,0.0
2022,CAB0012,Intra-Europe,carrier,2012,10,6,1062.0,8,None,168.0,136.2,39.6,0,25,52,0,31.7,none,0,1.0
2023,CAB0012,Intra-Europe,carrier,2012,11,6,1062.0,8,None,168.0,146.0,63.6,0,25,53,0,33.3,natural_hazard,1,0.0
2024,CAB0012,Intra-Europe,carrier,2012,12,6,1062.0,8,None,168.0,168.0,83.9,0,25,53,0,34.9,none,0,0.0
2025,CAB0012,Intra-Europe,carrier,2012,13,6,1062.0,8,None,168.0,168.0,41.6,0,25,58,0,36.5,none,0,1.0
2026,CAB0012,Intra-Europe,carrier,2012,14,6,1062.0,8,None,168.0,168.0,33.1,0,25,60,0,38.1,natural_hazard,1,
2022,CAB0013,Trans-Pacific,consortium,2022,0,8,12780.0,4,None,338.3,80.5,17.8,0,25,45,0,15.9,none,0,1.0
2023,CAB0013,Trans-Pacific,consortium,2022,1,8,12780.0,4,None,338.3,114.4,21.6,0,25,47,0,17.5,equipment,1,1.0
2024,CAB0013,Trans-Pacific,consortium,2022,2,8,12780.0,4,None,338.3,102.1,57.2,0,25,49,0,19.0,fishing_anchor,1,0.0
2025,CAB0013,Trans-Pacific,consortium,2022,3,8,12780.0,4,None,338.3,132.1,10.7,0,25,50,0,20.6,none,0,0.0
2026,CAB0013,Trans-Pacific,consortium,2022,4,8,12780.0,4,None,338.3,184.2,27.0,0,25,48,0,22.2,none,0,
2015,CAB0014,Intra-Pacific-Islands,carrier,2013,2,18,3848.0,6,None,529.7,168.7,26.8,1,25,28,1,23.0,none,0,0.0
2016,CAB0014,Intra-Pacific-Islands,carrier,2013,3,18,3848.0,6,None,529.7,238.8,42.3,1,25,29,1,24.6,none,0,0.0
2017,CAB0014,Intra-Pacific-Islands,carrier,2013,4,18,3848.0,6,None,529.7,235.4,22.1,1,25,29,1,26.2,none,0,0.0
2018,CAB0014,Intra-Pacific-Islands,carrier,2013,5,18,3848.0,6,None,529.7,329.6,18.7,1,25,30,1,27.8,none,0,0.0
2019,CAB0014,Intra-Pacific-Islands,carrier,2013,6,18,3848.0,6,None,529.7,320.3,63.0,1,25,35,1,29.4,none,0,1.0
