year,cable_id,ocean_route,operator_type,age_years,fiber_pairs,length_km,n_landing_countries,chokepoint,design_capacity_tbps,lit_capacity_tbps,utilization_pct,protected_burial,route_redundancy,is_low_redundancy,vulnerability_index,fault_this_year,fault_next_year,prev_fault,fault_3y,never_faulted,yrs_since_fault,cum_fault_rate,history_available
2015,CAB0001,Africa-Coastal,carrier,3.0,39.0,14098.0,5.0,,1092.0,487.2,41.7,1.0,36.0,1.0,24.6,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0001,Africa-Coastal,carrier,4.0,39.0,14098.0,5.0,,1092.0,507.7,51.5,1.0,37.0,1.0,26.2,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0001,Africa-Coastal,carrier,5.0,39.0,14098.0,5.0,,1092.0,632.5,80.0,1.0,40.0,0.0,7.9,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0001,Africa-Coastal,carrier,6.0,39.0,14098.0,5.0,,1092.0,546.9,17.5,1.0,40.0,0.0,9.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0001,Africa-Coastal,carrier,7.0,39.0,14098.0,5.0,,1092.0,585.7,71.3,1.0,42.0,0.0,11.1,0.0,0.0,0.0,0.0,1,99,0.0,1
2020,CAB0001,Africa-Coastal,carrier,8.0,39.0,14098.0,5.0,,1092.0,808.1,57.0,1.0,43.0,0.0,12.7,0.0,1.0,0.0,0.0,1,99,0.0,1
2021,CAB0001,Africa-Coastal,carrier,9.0,39.0,14098.0,5.0,,1092.0,809.8,40.8,1.0,44.0,0.0,14.3,1.0,0.0,0.0,1.0,0,0,0.14285714285714285,1
2022,CAB0001,Africa-Coastal,carrier,10.0,39.0,14098.0,5.0,,1092.0,964.0,36.6,1.0,45.0,0.0,15.9,0.0,1.0,1.0,1.0,0,1,0.125,1
2023,CAB0001,Africa-Coastal,carrier,11.0,39.0,14098.0,5.0,,1092.0,1063.7,48.9,1.0,47.0,0.0,17.5,1.0,0.0,0.0,2.0,0,0,0.2222222222222222,1
2024,CAB0001,Africa-Coastal,carrier,12.0,39.0,14098.0,5.0,,1092.0,1092.0,34.2,1.0,49.0,0.0,19.0,0.0,0.0,1.0,1.0,0,1,0.2,1
2025,CAB0001,Africa-Coastal,carrier,13.0,39.0,14098.0,5.0,,1092.0,1092.0,39.4,1.0,52.0,0.0,20.6,0.0,0.0,0.0,1.0,0,2,0.18181818181818182,1
2024,CAB0002,Indian-Ocean,carrier,0.0,6.0,6142.0,8.0,,270.9,77.7,24.3,0.0,41.0,0.0,15.9,0.0,0.0,,0.0,1,99,0.0,0
2025,CAB0002,Indian-Ocean,carrier,1.0,6.0,6142.0,8.0,,270.9,64.8,62.7,0.0,44.0,0.0,17.5,0.0,0.0,0.0,0.0,1,99,0.0,0
2025,CAB0003,Intra-Europe,carrier,0.0,12.0,1848.0,3.0,,558.9,138.8,30.3,1.0,58.0,0.0,0.0,0.0,0.0,,0.0,1,99,0.0,0
2015,CAB0004,Intra-Pacific-Islands,consortium,3.0,8.0,379.0,5.0,,224.0,86.8,59.0,0.0,28.0,1.0,40.5,0.0,1.0,,0.0,1,99,0.0,0
2016,CAB0004,Intra-Pacific-Islands,consortium,4.0,8.0,379.0,5.0,,224.0,110.3,28.7,0.0,29.0,1.0,42.1,1.0,1.0,0.0,1.0,0,0,0.5,0
2017,CAB0004,Intra-Pacific-Islands,consortium,5.0,8.0,379.0,5.0,,224.0,128.1,98.3,0.0,29.0,1.0,43.7,1.0,0.0,1.0,2.0,0,0,0.6666666666666666,0
2018,CAB0004,Intra-Pacific-Islands,consortium,6.0,8.0,379.0,5.0,,224.0,146.2,79.6,0.0,30.0,1.0,45.2,0.0,0.0,1.0,2.0,0,1,0.5,1
2019,CAB0004,Intra-Pacific-Islands,consortium,7.0,8.0,379.0,5.0,,224.0,130.3,90.3,0.0,35.0,1.0,46.8,0.0,0.0,0.0,1.0,0,2,0.4,1
2020,CAB0004,Intra-Pacific-Islands,consortium,8.0,8.0,379.0,5.0,,224.0,150.5,74.5,0.0,40.0,0.0,28.6,0.0,1.0,0.0,0.0,0,3,0.3333333333333333,1
2021,CAB0004,Intra-Pacific-Islands,consortium,9.0,8.0,379.0,5.0,,224.0,173.3,83.5,0.0,41.0,0.0,30.2,1.0,0.0,0.0,1.0,0,0,0.42857142857142855,1
2022,CAB0004,Intra-Pacific-Islands,consortium,10.0,8.0,379.0,5.0,,224.0,191.1,58.0,0.0,43.0,0.0,31.7,0.0,0.0,1.0,1.0,0,1,0.375,1
2023,CAB0004,Intra-Pacific-Islands,consortium,11.0,8.0,379.0,5.0,,224.0,211.1,51.3,0.0,45.0,0.0,33.3,0.0,0.0,0.0,1.0,0,2,0.3333333333333333,1
2024,CAB0004,Intra-Pacific-Islands,consortium,12.0,8.0,379.0,5.0,,224.0,224.0,30.5,0.0,48.0,0.0,34.9,0.0,0.0,0.0,0.0,0,3,0.3,1
2025,CAB0004,Intra-Pacific-Islands,consortium,13.0,8.0,379.0,5.0,,224.0,224.0,84.4,0.0,50.0,0.0,36.5,0.0,0.0,0.0,0.0,0,4,0.2727272727272727,1
2020,CAB0005,EMEA-Asia,hyperscaler,0.0,16.0,18833.0,3.0,,630.9,135.9,51.7,1.0,40.0,0.0,0.0,0.0,0.0,,0.0,1,99,0.0,0
2021,CAB0005,EMEA-Asia,hyperscaler,1.0,16.0,18833.0,3.0,,630.9,209.0,34.2,1.0,44.0,0.0,1.6,0.0,0.0,0.0,0.0,1,99,0.0,0
2022,CAB0005,EMEA-Asia,hyperscaler,2.0,16.0,18833.0,3.0,,630.9,225.1,44.4,1.0,45.0,0.0,3.2,0.0,0.0,0.0,0.0,1,99,0.0,0
2023,CAB0005,EMEA-Asia,hyperscaler,3.0,16.0,18833.0,3.0,,630.9,246.4,39.3,1.0,47.0,0.0,4.8,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0005,EMEA-Asia,hyperscaler,4.0,16.0,18833.0,3.0,,630.9,259.3,25.6,1.0,48.0,0.0,6.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2025,CAB0005,EMEA-Asia,hyperscaler,5.0,16.0,18833.0,3.0,,630.9,350.5,85.6,1.0,47.0,0.0,7.9,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0006,Trans-Atlantic,carrier,0.0,5.0,7004.0,7.0,,190.0,51.3,33.1,1.0,45.0,0.0,0.0,0.0,0.0,,0.0,1,99,0.0,0
2020,CAB0006,Trans-Atlantic,carrier,1.0,5.0,7004.0,7.0,,190.0,56.5,36.6,1.0,48.0,0.0,1.6,0.0,0.0,0.0,0.0,1,99,0.0,0
2021,CAB0006,Trans-Atlantic,carrier,2.0,5.0,7004.0,7.0,,190.0,63.4,32.0,1.0,50.0,0.0,3.2,0.0,0.0,0.0,0.0,1,99,0.0,0
2022,CAB0006,Trans-Atlantic,carrier,3.0,5.0,7004.0,7.0,,190.0,70.6,21.1,1.0,51.0,0.0,4.8,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0006,Trans-Atlantic,carrier,4.0,5.0,7004.0,7.0,,190.0,95.8,52.8,1.0,54.0,0.0,6.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0006,Trans-Atlantic,carrier,5.0,5.0,7004.0,7.0,,190.0,106.2,72.9,1.0,58.0,0.0,7.9,0.0,0.0,0.0,0.0,1,99,0.0,1
2025,CAB0006,Trans-Atlantic,carrier,6.0,5.0,7004.0,7.0,,190.0,120.7,27.8,1.0,62.0,0.0,9.5,0.0,1.0,0.0,0.0,1,99,0.0,1
2022,CAB0007,Africa-Coastal,consortium,0.0,34.0,9553.0,6.0,,1437.7,276.3,54.9,0.0,45.0,0.0,15.9,0.0,0.0,,0.0,1,99,0.0,0
2023,CAB0007,Africa-Coastal,consortium,1.0,34.0,9553.0,6.0,,1437.7,372.0,18.0,0.0,47.0,0.0,17.5,0.0,0.0,0.0,0.0,1,99,0.0,0
2024,CAB0007,Africa-Coastal,consortium,2.0,34.0,9553.0,6.0,,1437.7,477.4,49.6,0.0,49.0,0.0,19.0,0.0,1.0,0.0,0.0,1,99,0.0,0
2025,CAB0007,Africa-Coastal,consortium,3.0,34.0,9553.0,6.0,,1437.7,633.4,55.9,0.0,52.0,0.0,20.6,1.0,1.0,0.0,1.0,0,0,0.25,1
2025,CAB0008,Trans-Pacific,government,0.0,37.0,10572.0,5.0,,1723.1,475.6,45.5,1.0,50.0,0.0,0.0,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0009,Intra-Asia,consortium,0.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,249.4,40.8,0.0,59.0,0.0,43.7,1.0,0.0,,1.0,0,0,1.0,0
2017,CAB0009,Intra-Asia,consortium,1.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,193.8,36.7,0.0,60.0,0.0,45.2,0.0,1.0,1.0,1.0,0,1,0.5,0
2018,CAB0009,Intra-Asia,consortium,2.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,246.4,35.7,0.0,62.0,0.0,46.8,1.0,1.0,0.0,2.0,0,0,0.6666666666666666,0
2019,CAB0009,Intra-Asia,consortium,3.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,274.4,21.2,0.0,64.0,0.0,48.4,1.0,0.0,1.0,2.0,0,0,0.75,1
2020,CAB0009,Intra-Asia,consortium,4.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,312.4,22.5,0.0,66.0,0.0,50.0,0.0,1.0,1.0,2.0,0,1,0.6,1
2021,CAB0009,Intra-Asia,consortium,5.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,364.5,59.2,0.0,69.0,0.0,51.6,1.0,1.0,0.0,2.0,0,0,0.6666666666666666,1
2022,CAB0009,Intra-Asia,consortium,6.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,365.2,75.3,0.0,70.0,0.0,53.2,1.0,1.0,1.0,2.0,0,0,0.7142857142857143,1
2023,CAB0009,Intra-Asia,consortium,7.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,408.9,26.8,0.0,70.0,0.0,54.8,1.0,1.0,1.0,3.0,0,0,0.75,1
